0.00, 1, red, Entry
0.00, 2, red, Entry
0.00, 4, blue, Entry
0.00, 2, blue, Entry
0.07, 1, red, Exit
0.10, 1, red, Entry
0.17, 1, red, Exit
0.20, 1, red, Entry
0.30, 3, red, Entry
0.33, 3, red, Exit
0.43, 4, red, Entry
0.47, 1, red, Exit
0.50, 3, red, Entry
0.50, 1, red, Entry
0.53, 4, red, Exit
0.57, 4, red, Entry
0.60, 4, red, Exit
0.67, 1, red, Exit
0.70, 1, red, Entry
1.00, 2, red, Exit
1.03, 4, red, Entry
1.10, 1, red, Exit
1.10, 4, red, Exit
1.20, 2, red, Entry
1.20, 3, red, Exit
1.26, 4, red, Entry
1.26, 1, red, Entry
